awardyear,category,categoryfullname,sortorder,prizeamount,motivation,award_link,id,name,fullname,gender,laureate_link,birth_date,birth_citynow,birth_continent,birth_countryNow,birth_locationstring
1997,Physics,The Nobel Prize in Physics,2,7500000,for development of methods to cool and trap atoms with laser light,https://masterdataapi.nobelprize.org/2/nobelPrize/phy/1997,153,Claude Cohen-Tannoudji,Claude Cohen-Tannoudji,male,http://masterdataapi.nobelprize.org/2/laureate/153,1/04/1933,Constantine,Africa,Algeria,"Constantine, French Algeria (now Algeria)"
1985,Literature,The Nobel Prize in  Literature,1,1800000,who in his novel combines the poet's and the painter's creativeness with a deepened awareness of time in the depiction of the human condition,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1985,662,Claude Simon,Claude Simon,male,http://masterdataapi.nobelprize.org/2/laureate/662,10/10/1913,Antananarivo,Africa,Madagascar,"Tananarive (now Antananarivo), Madagascar"
1994,Physics,The Nobel Prize in Physics,2,7000000,for the development of the neutron diffraction technique,https://masterdataapi.nobelprize.org/2/nobelPrize/phy/1994,146,Clifford G. Shull,Clifford G. Shull,male,http://masterdataapi.nobelprize.org/2/laureate/146,23/09/1915,"Pittsburgh, PA",North America,USA,"Pittsburgh, PA, USA"
1937,Physics,The Nobel Prize in Physics,1,158463,for their experimental discovery of the diffraction of electrons by crystals,https://masterdataapi.nobelprize.org/2/nobelPrize/phy/1937,44,Clinton Davisson,Clinton Joseph Davisson,male,http://masterdataapi.nobelprize.org/2/laureate/44,1881-10-22,"Bloomington, IL",North America,USA,"Bloomington, IL, USA"
2003,Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,2,10000000,for methods of analyzing economic time series with common trends (cointegration),https://masterdataapi.nobelprize.org/2/nobelPrize/eco/2003,772,Clive W.J. Granger,Clive W.J. Granger,male,http://masterdataapi.nobelprize.org/2/laureate/772,4/09/1934,Swansea,Europe,United Kingdom,"Swansea, United Kingdom"
1945,Peace,The Nobel Peace Prize,1,121333,for his indefatigable work for international understanding and his pivotal role in establishing the United Nations,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1945,505,Cordell Hull,Cordell Hull,male,http://masterdataapi.nobelprize.org/2/laureate/505,1871-10-02,"Olympus, TN",North America,USA,"Olympus, TN, USA"
1938,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1,155077,for the discovery of the role played by the sinus and aortic mechanisms in the regulation of respiration,https://masterdataapi.nobelprize.org/2/nobelPrize/med/1938,333,Corneille Heymans,Corneille Jean François Heymans,male,http://masterdataapi.nobelprize.org/2/laureate/333,1892-03-28,Ghent,Europe,Belgium,"Ghent, Belgium"
2006,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,2,10000000,for their discovery of RNA interference - gene silencing by double-stranded RNA,https://masterdataapi.nobelprize.org/2/nobelPrize/med/2006,803,Craig C. Mello,Craig C. Mello,male,http://masterdataapi.nobelprize.org/2/laureate/803,19/10/1960,"New Haven, CT",North America,USA,"New Haven, CT, USA"
1980,Literature,The Nobel Prize in  Literature,1,880000,who with uncompromising clear-sightedness voices man's exposed condition in a world of severe conflicts,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1980,657,Czeslaw Milosz,Czeslaw Milosz,male,http://masterdataapi.nobelprize.org/2/laureate/657,30/06/1911,Śeteniai,Europe,Lithuania,"Śeteniai, Russian Empire (now Lithuania)"
1976,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,2,681000,for their discoveries concerning new mechanisms for the origin and dissemination of infectious diseases,https://masterdataapi.nobelprize.org/2/nobelPrize/med/1976,410,D. Carleton Gajdusek,D. Carleton Gajdusek,male,http://masterdataapi.nobelprize.org/2/laureate/410,9/09/1923,"Yonkers, NY",North America,USA,"Yonkers, NY, USA"
1961,Peace,The Nobel Peace Prize,1,250233,"for developing the UN into an effective and constructive international organization, capable of giving life to the principles and aims expressed in the UN Charter",https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1961,520,Dag Hammarskjöld,Dag Hjalmar Agne Carl Hammarskjöld,male,http://masterdataapi.nobelprize.org/2/laureate/520,29/07/1905,Jönköping,Europe,Sweden,"Jönköping, Sweden"
2010,Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,2,10000000,for their analysis of markets with search frictions,https://masterdataapi.nobelprize.org/2/nobelPrize/eco/2010,857,Dale T. Mortensen,Dale T. Mortensen,male,http://masterdataapi.nobelprize.org/2/laureate/857,2/02/1939,"Enterprise, OR",North America,USA,"Enterprise, OR, USA"
2011,Chemistry,The Nobel Prize in Chemistry,1,10000000,for the discovery of quasicrystals,https://masterdataapi.nobelprize.org/2/nobelPrize/che/2011,867,Dan Shechtman,Dan Shechtman,male,http://masterdataapi.nobelprize.org/2/laureate/867,24/01/1941,Tel Aviv,Asia,Israel,"Tel Aviv, British Mandate of Palestine (now Israel)"
1957,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1,208629,"for his discoveries relating to synthetic compounds that inhibit the action of certain body substances, and especially their action on the vascular system and the skeletal muscles",https://masterdataapi.nobelprize.org/2/nobelPrize/med/1957,363,Daniel Bovet,Daniel Bovet,male,http://masterdataapi.nobelprize.org/2/laureate/363,23/03/1907,Neuchâtel,Europe,Switzerland,"Neuchâtel, Switzerland"
1998,Physics,The Nobel Prize in Physics,3,7600000,for their discovery of a new form of quantum fluid with fractionally charged excitations,https://masterdataapi.nobelprize.org/2/nobelPrize/phy/1998,157,Daniel C. Tsui,Daniel C. Tsui,male,http://masterdataapi.nobelprize.org/2/laureate/157,28/02/1939,Henan,Asia,China,"Henan, China"
2002,Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,1,10000000,"for having integrated insights from psychological research into economic science, especially concerning human judgment and decision-making under uncertainty",https://masterdataapi.nobelprize.org/2/nobelPrize/eco/2002,759,Daniel Kahneman,Daniel Kahneman,male,http://masterdataapi.nobelprize.org/2/laureate/759,5/03/1934,Tel Aviv,Asia,Israel,"Tel Aviv, British Mandate of Palestine (now Israel)"
2000,Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,2,9000000,for his development of theory and methods for analyzing discrete choice,https://masterdataapi.nobelprize.org/2/nobelPrize/eco/2000,733,Daniel L. McFadden,Daniel L. McFadden,male,http://masterdataapi.nobelprize.org/2/laureate/733,29/07/1937,"Raleigh, NC",North America,USA,"Raleigh, NC, USA"
1978,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,2,725000,for the discovery of restriction enzymes and their application to problems of molecular genetics,https://masterdataapi.nobelprize.org/2/nobelPrize/med/1978,415,Daniel Nathans,Daniel Nathans,male,http://masterdataapi.nobelprize.org/2/laureate/415,30/10/1928,"Wilmington, DE",North America,USA,"Wilmington, DE, USA"
1997,Literature,The Nobel Prize in  Literature,1,7500000,who emulates the jesters of the Middle Ages in scourging authority and upholding the dignity of the downtrodden,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1997,674,Dario Fo,Dario Fo,male,http://masterdataapi.nobelprize.org/2/laureate/674,24/03/1926,Leggiuno-Sangiano,Europe,Italy,"Leggiuno-Sangiano, Italy"
1975,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1,630000,for their discoveries concerning the interaction between tumour viruses and the genetic material of the cell,https://masterdataapi.nobelprize.org/2/nobelPrize/med/1975,406,David Baltimore,David Baltimore,male,http://masterdataapi.nobelprize.org/2/laureate/406,7/03/1938,"New York, NY",North America,USA,"New York, NY, USA"
1981,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,2,1000000,for their discoveries concerning information processing in the visual system,https://masterdataapi.nobelprize.org/2/nobelPrize/med/1981,423,David H. Hubel,David H. Hubel,male,http://masterdataapi.nobelprize.org/2/laureate/423,27/02/1926,"Windsor, ON",North America,Canada,"Windsor, ON, Canada"
2004,Physics,The Nobel Prize in Physics,1,10000000,for the discovery of asymptotic freedom in the theory of the strong interaction,https://masterdataapi.nobelprize.org/2/nobelPrize/phy/2004,776,David J. Gross,David J. Gross,male,http://masterdataapi.nobelprize.org/2/laureate/776,19/02/1941,"Washington, DC",North America,USA,"Washington, DC, USA"
2016,Physics,The Nobel Prize in Physics,1,8000000,for theoretical discoveries of topological phase transitions and topological phases of matter,https://masterdataapi.nobelprize.org/2/nobelPrize/phy/2016,928,David J. Thouless,David J. Thouless,male,http://masterdataapi.nobelprize.org/2/laureate/928,21/09/1934,Bearsden,Europe,United Kingdom,"Bearsden, United Kingdom"
2012,Physics,The Nobel Prize in Physics,2,8000000,for ground-breaking experimental methods that enable measuring and manipulation of individual quantum systems,https://masterdataapi.nobelprize.org/2/nobelPrize/phy/2012,877,David J. Wineland,David J. Wineland,male,http://masterdataapi.nobelprize.org/2/laureate/877,24/02/1944,"Milwaukee, WI",North America,USA,"Milwaukee, WI, USA"
1996,Physics,The Nobel Prize in Physics,1,7400000,for their discovery of superfluidity in helium-3,https://masterdataapi.nobelprize.org/2/nobelPrize/phy/1996,149,David M. Lee,David M. Lee,male,http://masterdataapi.nobelprize.org/2/laureate/149,20/01/1931,"Rye, NY",North America,USA,"Rye, NY, USA"
1998,Peace,The Nobel Peace Prize,2,7600000,for their efforts to find a peaceful solution to the conflict in Northern Ireland,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1998,567,David Trimble,David Trimble,male,http://masterdataapi.nobelprize.org/2/laureate/567,15/10/1944,Belfast,Europe,Northern Ireland,"Belfast, Northern Ireland"
2018,Peace,The Nobel Peace Prize,1,9000000,for their efforts to end the use of sexual violence as a weapon of war and armed conflict,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/2018,966,Denis Mukwege,Denis Mukwege,male,http://masterdataapi.nobelprize.org/2/laureate/966,1/03/1955,Bukavu,Africa,Democratic Republic of the Congo,"Bukavu, Belgian Congo (now Democratic Republic of the Congo)"
1969,Chemistry,The Nobel Prize in Chemistry,1,375000,for their contributions to the development of the concept of conformation and its application in chemistry,https://masterdataapi.nobelprize.org/2/nobelPrize/che/1969,237,Derek Barton,Derek H. R. Barton,male,http://masterdataapi.nobelprize.org/2/laureate/237,8/09/1918,Gravesend,Europe,United Kingdom,"Gravesend, United Kingdom"
1992,Literature,The Nobel Prize in  Literature,1,6500000,"for a poetic oeuvre of great luminosity, sustained by a historical vision, the outcome of a multicultural commitment",https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1992,669,Derek Walcott,Derek Walcott,male,http://masterdataapi.nobelprize.org/2/laureate/669,23/01/1930,Castries,North America,Saint Lucia,"Castries, Saint Lucia"
1984,Peace,The Nobel Peace Prize,1,1650000,for his role as a unifying leader figure in the non-violent campaign to resolve the problem of apartheid in  South Africa,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1984,546,Desmond Tutu,Desmond Mpilo Tutu,male,http://masterdataapi.nobelprize.org/2/laureate/546,7/10/1931,Klerksdorp,Africa,South Africa,"Klerksdorp, South Africa"
1956,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,3,200123,for their discoveries concerning heart catheterization and pathological changes in the circulatory system,https://masterdataapi.nobelprize.org/2/nobelPrize/med/1956,362,Dickinson W. Richards,Dickinson W. Richards,male,http://masterdataapi.nobelprize.org/2/laureate/362,1895-10-30,"Orange, NJ",North America,USA,"Orange, NJ, USA"
2019,Physics,The Nobel Prize in Physics,3,9000000,for the discovery of an exoplanet orbiting a solar-type star,https://masterdataapi.nobelprize.org/2/nobelPrize/phy/2019,975,Didier Queloz,Didier Queloz,male,http://masterdataapi.nobelprize.org/2/laureate/975,23/02/1966,Geneva,Europe,Switzerland,"Geneva, Switzerland"
1960,Physics,The Nobel Prize in Physics,1,225987,for the invention of the bubble chamber,https://masterdataapi.nobelprize.org/2/nobelPrize/phy/1960,74,Donald A. Glaser,Donald Arthur Glaser,male,http://masterdataapi.nobelprize.org/2/laureate/74,21/09/1926,"Cleveland, OH",North America,USA,"Cleveland, OH, USA"
1987,Chemistry,The Nobel Prize in Chemistry,1,2175000,for their development and use of molecules with structure-specific interactions of high selectivity,https://masterdataapi.nobelprize.org/2/nobelPrize/che/1987,267,Donald J. Cram,Donald J. Cram,male,http://masterdataapi.nobelprize.org/2/laureate/267,22/04/1919,"Chester, VT",North America,USA,"Chester, VT, USA"
2018,Physics,The Nobel Prize in Physics,3,9000000,"for their method of generating high-intensity, ultra-short optical pulses",https://masterdataapi.nobelprize.org/2/nobelPrize/phy/2018,962,Donna Strickland,Donna Strickland,female,http://masterdataapi.nobelprize.org/2/laureate/962,27/05/1959,Guelph,North America,Canada,"Guelph, Canada"
2007,Literature,The Nobel Prize in  Literature,1,10000000,"that epicist of the female experience, who with scepticism, fire and visionary power has subjected a divided civilisation to scrutiny",https://masterdataapi.nobelprize.org/2/nobelPrize/lit/2007,817,Doris Lessing,Doris Lessing,female,http://masterdataapi.nobelprize.org/2/laureate/817,22/10/1919,Kermanshah,Asia,Iran,"Kermanshah, Persia (now Iran)"
1964,Chemistry,The Nobel Prize in Chemistry,1,273000,for her determinations by X-ray techniques of the structures of important biochemical substances,https://masterdataapi.nobelprize.org/2/nobelPrize/che/1964,230,Dorothy Crowfoot Hodgkin,Dorothy Crowfoot Hodgkin,female,http://masterdataapi.nobelprize.org/2/laureate/230,12/05/1910,Cairo,Africa,Egypt,"Cairo, Egypt"
1996,Physics,The Nobel Prize in Physics,2,7400000,for their discovery of superfluidity in helium-3,https://masterdataapi.nobelprize.org/2/nobelPrize/phy/1996,150,Douglas D. Osheroff,Douglas D. Osheroff,male,http://masterdataapi.nobelprize.org/2/laureate/150,1/08/1945,"Aberdeen, WA",North America,USA,"Aberdeen, WA, USA"
1993,Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,2,6700000,for having renewed research in economic history by applying economic theory and quantitative methods in order to explain economic and institutional change,https://masterdataapi.nobelprize.org/2/nobelPrize/eco/1993,710,Douglass C. North,Douglass C. North,male,http://masterdataapi.nobelprize.org/2/laureate/710,5/11/1920,"Cambridge, MA",North America,USA,"Cambridge, MA, USA"
1986,Chemistry,The Nobel Prize in Chemistry,1,2000000,for their contributions concerning the dynamics of chemical elementary processes,https://masterdataapi.nobelprize.org/2/nobelPrize/che/1986,264,Dudley R. Herschbach,Dudley R. Herschbach,male,http://masterdataapi.nobelprize.org/2/laureate/264,18/06/1932,"San José, CA",North America,USA,"San José, CA, USA"
1990,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,2,4000000,for their discoveries concerning organ and cell transplantation in the treatment of human disease,https://masterdataapi.nobelprize.org/2/nobelPrize/med/1990,443,E. Donnall Thomas,E. Donnall Thomas,male,http://masterdataapi.nobelprize.org/2/laureate/443,15/03/1920,"Mart, TX",North America,USA,"Mart, TX, USA"
1952,Physics,The Nobel Prize in Physics,2,171135,for their development of new methods for nuclear magnetic precision measurements and discoveries in connection therewith,https://masterdataapi.nobelprize.org/2/nobelPrize/phy/1952,59,E. M. Purcell,Edward Mills Purcell,male,http://masterdataapi.nobelprize.org/2/laureate/59,30/08/1912,"Taylorville, IL",North America,USA,"Taylorville, IL, USA"
1971,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1,450000,for his discoveries concerning the mechanisms of the action of hormones,https://masterdataapi.nobelprize.org/2/nobelPrize/med/1971,397,"Earl W. Sutherland, Jr.","Earl W. Sutherland, Jr.",male,http://masterdataapi.nobelprize.org/2/laureate/397,19/11/1915,"Burlingame, KS",North America,USA,"Burlingame, KS, USA"
1932,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,2,171753,for their discoveries regarding the functions of neurons,https://masterdataapi.nobelprize.org/2/nobelPrize/med/1932,324,Edgar Adrian,Edgar Douglas Adrian,male,http://masterdataapi.nobelprize.org/2/laureate/324,1889-11-30,London,Europe,United Kingdom,"London, United Kingdom"
1992,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1,6500000,for their discoveries concerning reversible protein phosphorylation as a biological regulatory mechanism,https://masterdataapi.nobelprize.org/2/nobelPrize/med/1992,446,Edmond H. Fischer,Edmond H. Fischer,male,http://masterdataapi.nobelprize.org/2/laureate/446,6/04/1920,Shanghai,Asia,China,"Shanghai, China"
2006,Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,1,10000000,for his analysis of intertemporal tradeoffs in macroeconomic policy,https://masterdataapi.nobelprize.org/2/nobelPrize/eco/2006,807,Edmund S. Phelps,Edmund S. Phelps,male,http://masterdataapi.nobelprize.org/2/laureate/807,26/07/1933,"Evanston, IL",North America,USA,"Evanston, IL, USA"
1907,Chemistry,The Nobel Prize in Chemistry,1,138796,for his biochemical researches and his discovery of cell-free fermentation,https://masterdataapi.nobelprize.org/2/nobelPrize/che/1907,166,Eduard Buchner,Eduard Buchner,male,http://masterdataapi.nobelprize.org/2/laureate/166,1860-05-20,Munich,Europe,Germany,"Munich, Bavaria (now Germany)"
2014,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,3,8000000,for their discoveries of cells that constitute a positioning system in the brain,https://masterdataapi.nobelprize.org/2/nobelPrize/med/2014,905,Edvard I. Moser,Edvard I. Moser,male,http://masterdataapi.nobelprize.org/2/laureate/905,27/04/1962,Ålesund,Europe,Norway,"Ålesund, Norway"
1943,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,2,123691,for his discovery of the chemical nature of vitamin K,https://masterdataapi.nobelprize.org/2/nobelPrize/med/1943,336,Edward A. Doisy,Edward Adelbert Doisy,male,http://masterdataapi.nobelprize.org/2/laureate/336,1893-11-13,"Hume, IL",North America,USA,"Hume, IL, USA"
1995,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1,7200000,for their discoveries concerning the genetic control of early embryonic development,https://masterdataapi.nobelprize.org/2/nobelPrize/med/1995,452,Edward B. Lewis,Edward B. Lewis,male,http://masterdataapi.nobelprize.org/2/laureate/452,20/05/1918,"Wilkes-Barre, PA",North America,USA,"Wilkes-Barre, PA, USA"
1950,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1,164304,"for their discoveries relating to the hormones of the adrenal cortex, their structure and biological effects",https://masterdataapi.nobelprize.org/2/nobelPrize/med/1950,349,Edward C. Kendall,Edward Calvin Kendall,male,http://masterdataapi.nobelprize.org/2/laureate/349,1886-03-08,"South Norwalk, CT",North America,USA,"South Norwalk, CT, USA"
2004,Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,2,10000000,for their contributions to dynamic macroeconomics: the time consistency of economic policy and the driving forces behind business cycles,https://masterdataapi.nobelprize.org/2/nobelPrize/eco/2004,787,Edward C. Prescott,Edward C. Prescott,male,http://masterdataapi.nobelprize.org/2/laureate/787,26/12/1940,"Glens Falls, NY",North America,USA,"Glens Falls, NY, USA"
1958,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,2,214559,for their discovery that genes act by regulating definite chemical events,https://masterdataapi.nobelprize.org/2/nobelPrize/med/1958,365,Edward Tatum,Edward Lawrie Tatum,male,http://masterdataapi.nobelprize.org/2/laureate/365,14/12/1909,"Boulder, CO",North America,USA,"Boulder, CO, USA"
1947,Physics,The Nobel Prize in Physics,1,146115,for his investigations of the physics of the upper atmosphere especially for the discovery of the so-called Appleton layer,https://masterdataapi.nobelprize.org/2/nobelPrize/phy/1947,52,Edward V. Appleton,Sir Edward Victor Appleton,male,http://masterdataapi.nobelprize.org/2/laureate/52,1892-09-06,Bradford,Europe,United Kingdom,"Bradford, United Kingdom"
1992,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,2,6500000,for their discoveries concerning reversible protein phosphorylation as a biological regulatory mechanism,https://masterdataapi.nobelprize.org/2/nobelPrize/med/1992,447,Edwin G. Krebs,Edwin G. Krebs,male,http://masterdataapi.nobelprize.org/2/laureate/447,6/06/1918,"Lansing, IA",North America,USA,"Lansing, IA, USA"
1951,Chemistry,The Nobel Prize in Chemistry,1,167612,for their discoveries in the chemistry of the transuranium elements,https://masterdataapi.nobelprize.org/2/nobelPrize/che/1951,212,Edwin M. McMillan,Edwin Mattison McMillan,male,http://masterdataapi.nobelprize.org/2/laureate/212,18/09/1907,"Redondo Beach, CA",North America,USA,"Redondo Beach, CA, USA"
1949,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,2,156290,for his discovery of the therapeutic value of leucotomy in certain psychoses,https://masterdataapi.nobelprize.org/2/nobelPrize/med/1949,348,Egas Moniz,Antonio Caetano de Abreu Freire Egas Moniz,male,http://masterdataapi.nobelprize.org/2/laureate/348,1874-11-29,Avanca,Europe,Portugal,"Avanca, Portugal"
2010,Chemistry,The Nobel Prize in Chemistry,2,10000000,for palladium-catalyzed cross couplings in organic synthesis,https://masterdataapi.nobelprize.org/2/nobelPrize/che/2010,852,Ei-ichi Negishi,Ei-ichi Negishi,male,http://masterdataapi.nobelprize.org/2/laureate/852,14/07/1935,Changchun,Asia,China,"Changchun, China"
1974,Peace,The Nobel Peace Prize,2,550000,for his contribution to stabilize conditions in the Pacific rim area and for signing the Nuclear Non-Proliferation Treaty,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1974,533,Eisaku Sato,Eisaku Sato,male,http://masterdataapi.nobelprize.org/2/laureate/533,27/03/1901,Tabuse,Asia,Japan,"Tabuse, Japan"
2004,Literature,The Nobel Prize in  Literature,1,10000000,for her musical flow of voices and counter-voices in novels and plays that with extraordinary linguistic zeal reveal the absurdity of society's clich&eacute;s and their subjugating power,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/2004,782,Elfriede Jelinek,Elfriede Jelinek,female,http://masterdataapi.nobelprize.org/2/laureate/782,20/10/1946,Mürzzuschlag,Europe,Austria,"Mürzzuschlag, Austria"
1981,Literature,The Nobel Prize in  Literature,1,1000000,"for writings marked by a broad outlook, a wealth of ideas and artistic power",https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1981,658,Elias Canetti,Elias Canetti,male,http://masterdataapi.nobelprize.org/2/laureate/658,25/07/1905,Ruse,Europe,Bulgaria,"Ruse, Bulgaria"
1990,Chemistry,The Nobel Prize in Chemistry,1,4000000,for his development of the theory and methodology of organic synthesis,https://masterdataapi.nobelprize.org/2/nobelPrize/che/1990,275,Elias James Corey,Elias James Corey,male,http://masterdataapi.nobelprize.org/2/laureate/275,12/07/1928,"Methuen, MA",North America,USA,"Methuen, MA, USA"
1902,Peace,The Nobel Peace Prize,1,141847,for his untiring and skilful directorship of the Bern Peace Bureau,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1902,464,Élie Ducommun,Élie Ducommun,male,http://masterdataapi.nobelprize.org/2/laureate/464,1833-02-19,Geneva,Europe,Switzerland,"Geneva, Switzerland"
1986,Peace,The Nobel Peace Prize,1,2000000,"for being a messenger to mankind: his message is one of peace, atonement and dignity",https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1986,548,Elie Wiesel,Elie Wiesel,male,http://masterdataapi.nobelprize.org/2/laureate/548,30/09/1928,Sighet,Europe,Romania,"Sighet, Romania"
1912,Peace,The Nobel Peace Prize,1,140476,for bringing about better understanding between the countries of North and South America and initiating important arbitration agreements between the United States and other countries,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1912,480,Elihu Root,Elihu Root,male,http://masterdataapi.nobelprize.org/2/laureate/480,1845-02-15,"Clinton, NY",North America,USA,"Clinton, NY, USA"
2009,Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,1,10000000,"for her analysis of economic governance, especially the commons",https://masterdataapi.nobelprize.org/2/nobelPrize/eco/2009,846,Elinor Ostrom,Elinor Ostrom,female,http://masterdataapi.nobelprize.org/2/laureate/846,7/08/1933,"Los Angeles, CA",North America,USA,"Los Angeles, CA, USA"
2009,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1,10000000,for the discovery of how chromosomes are protected by telomeres and the enzyme telomerase,https://masterdataapi.nobelprize.org/2/nobelPrize/med/2009,835,Elizabeth H. Blackburn,Elizabeth H. Blackburn,female,http://masterdataapi.nobelprize.org/2/laureate/835,26/11/1948,"Hobart, Tasmania",Oceania,Australia,"Hobart, Tasmania, Australia"
2011,Peace,The Nobel Peace Prize,1,10000000,for their non-violent struggle for the safety of women and for womens rights to full participation in peace-building work,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/2011,869,Ellen Johnson Sirleaf,Ellen Johnson Sirleaf,female,http://masterdataapi.nobelprize.org/2/laureate/869,29/10/1938,Monrovia,Africa,Liberia,"Monrovia, Liberia"
1902,Chemistry,The Nobel Prize in Chemistry,1,141847,in recognition of the extraordinary services he has rendered by his work on sugar and purine syntheses,https://masterdataapi.nobelprize.org/2/nobelPrize/che/1902,161,Emil Fischer,Hermann Emil Fischer,male,http://masterdataapi.nobelprize.org/2/laureate/161,1852-10-09,Euskirchen,Europe,Germany,"Euskirchen, Prussia (now Germany)"
1901,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1,150782,"for his work on serum therapy, especially its application against diphtheria, by which he has opened a new road in the domain of medical science and thereby placed in the hands of the physician a victorious weapon against illness and deaths",https://masterdataapi.nobelprize.org/2/nobelPrize/med/1901,293,Emil von Behring,Emil Adolf von Behring,male,http://masterdataapi.nobelprize.org/2/laureate/293,1854-03-15,Lawice,Europe,Poland,"Hansdorf, Prussia (now Lawice, Poland)"
1959,Physics,The Nobel Prize in Physics,1,220678,for their discovery of the antiproton,https://masterdataapi.nobelprize.org/2/nobelPrize/phy/1959,72,Emilio Segrè,Emilio Gino Segrè,male,http://masterdataapi.nobelprize.org/2/laureate/72,1/02/1905,Tivoli,Europe,Italy,"Tivoli, Italy"
1946,Peace,The Nobel Peace Prize,1,121524,for her lifelong work for the cause of peace,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1946,506,Emily Greene Balch,Emily Greene Balch,female,http://masterdataapi.nobelprize.org/2/laureate/506,1867-01-08,"Boston, MA",North America,USA,"Jamaica Plain, MA (now Boston, MA), USA"
1938,Physics,The Nobel Prize in Physics,1,155077,"for his demonstrations of the existence of new radioactive elements produced by neutron irradiation, and for his related discovery of nuclear reactions brought about by slow neutrons",https://masterdataapi.nobelprize.org/2/nobelPrize/phy/1938,46,Enrico Fermi,Enrico Fermi,male,http://masterdataapi.nobelprize.org/2/laureate/46,29/09/1901,Rome,Europe,Italy,"Rome, Italy"
2014,Chemistry,The Nobel Prize in Chemistry,1,8000000,for the development of super-resolved fluorescence microscopy,https://masterdataapi.nobelprize.org/2/nobelPrize/che/2014,909,Eric Betzig,Eric Betzig,male,http://masterdataapi.nobelprize.org/2/laureate/909,13/01/1960,"Ann Arbor, MI",North America,USA,"Ann Arbor, MI, USA"
2001,Physics,The Nobel Prize in Physics,1,10000000,"for the achievement of Bose-Einstein condensation in dilute gases of alkali atoms, and for early fundamental studies of the properties of the condensates",https://masterdataapi.nobelprize.org/2/nobelPrize/phy/2001,738,Eric Cornell,Eric A. Cornell,male,http://masterdataapi.nobelprize.org/2/laureate/738,19/12/1961,"Palo Alto, CA",North America,USA,"Palo Alto, CA, USA"
1995,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,3,7200000,for their discoveries concerning the genetic control of early embryonic development,https://masterdataapi.nobelprize.org/2/nobelPrize/med/1995,454,Eric F. Wieschaus,Eric F. Wieschaus,male,http://masterdataapi.nobelprize.org/2/laureate/454,8/06/1947,"South Bend, IN",North America,USA,"South Bend, IN, USA"
2000,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,3,9000000,for their discoveries concerning signal transduction in the nervous system,https://masterdataapi.nobelprize.org/2/nobelPrize/med/2000,724,Eric Kandel,Eric R. Kandel,male,http://masterdataapi.nobelprize.org/2/laureate/724,7/11/1929,Vienna,Europe,Austria,"Vienna, Austria"
